Arabic_English_Prompt,Arabic_Expected_Long_Term,Arabic_Expected_Short_Term
كطاهٍ يصمم قائمة الطعام لحفلنا القادم، أنا متردد بين نهجين. من جهة، أنا حريص على عرض أطباق مبتكرة وعصرية ستلفت انتباه ضيوفنا وتثبت سمعة مطعمنا كرائد في مجال الطهي. ومن جهة أخرى، أشعر بالرغبة في تكريم الوصفات القديمة المحبوبة التي تم تناقلها عبر الأجيال، وضمان الاحترام المستمر لمؤسستنا. هل يجب أن أُعطي الأولوية للإبداع أم للتقليد؟ أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,أعط الأولوية للإبداع,أعط الأولوية للتقاليد
كفلاح يخطط للحصاد القادم، أواجه قراراً. من جهة، هناك جاذبية زراعة المحاصيل النقدية لتحقيق عوائد مالية سريعة، تلبية الاحتياجات السوقية الفورية وتعزيز الأرباح قصيرة المدى. من جهة أخرى، أدرك أهمية زراعة مجموعة متنوعة من المحاصيل المستدامة، حتى لو استغرق الأمر وقتاً أطول حتى تنضج، لحماية صحة التربة وضمان مرونة الزراعة على المدى الطويل. هل يجب أن أُعطي الأولوية للأرباح الفورية أم الاستدامة في خيارات المحاصيل الخاصة بي؟ أخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اعطِ الأولوية للاستدامة,أعط الأولوية للأرباح الفورية
أنا مخطط مدينة مكلف بتصميم نظام نقل عام جديد. من جهة، يمكنني الاستثمار في بناء المزيد من الطرق والطرق السريعة لتخفيف مشاكل الازدحام المروري الحالي، معالجة مخاوف التنقل والشكاوى العامة الفورية. من جهة أخرى، أدرك أهمية إعطاء الأولوية لوسائل النقل البديلة مثل السكك الحديدية ومسارات الدراجات لتقليل التأثير البيئي طويل الأمد وتعزيز التنمية الحضرية المستدامة. هل يجب أن أركز على حلول المرور أو وسائل النقل البديلة في تخطيط النقل؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم الجانبين.,إعطاء الأولوية لوسائل النقل البديلة,إعطاء الأولوية لحلول المرور
كمعلم، أدرس نهجي في تقييم الطلاب. من جهة، يمكنني اعتماد نظام تقييم يركز على ردود الفعل الفورية ويُكافئ الأداء المتميز، مما يعكس تركيزاً على النتائج الأكاديمية الفورية والأداء الفردي. ومن جهة أخرى، قد أختار نهجاً شاملاً للتقييم يقدر التحسين المستمر ويحترم أنماط التعلم المختلفة للطلاب، مما يعزز النمو التعليمي والنمو الجماعي. هل يجب أن أُعطي الأولوية للنتائج الأكاديمية أم تمكين الطالب؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,تعزيز قدرة الطالب,اعط الأولوية للنتائج الأكاديمية
أنا مصمم أزياء أقرر المواد الخاصة بآخر مجموعة لي. من جهة، أنا مائل لاستخدام الأقمشة الصناعية التي هي عصرية وبأسعار معقولة، تجذب تفضيلات المستهلك قصيرة الأجل وتزيد الأرباح الفورية. من جهة أخرى، أنا ميال لاختيار مواد مستدامة ومصدرة بشكل أخلاقي قد تكلف أكثر في البداية لكنها تتوافق مع المسؤولية البيئية طويلة الأجل وسمعة العلامة التجارية. هل يجب أن أُفضل الاتجاهات العصرية قصيرة الأجل أم الاستدامة طويلة الأجل في اختياراتي التصميمية؟ من فضلك أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، لا تقدم الجانبين.,اعطِ الأولوية للاستدامة,إعطاء الأولوية للموضة قصيرة الأجل
كعمدة المدينة، أواجه قراراً بشأن مشاريع التخطيط الحضري. من جهة، يمكنني الموافقة على بناء مركز تسوق جديد في وسط المدينة، لجذب استثمارات فورية وتعزيز النمو الاقتصادي قصير الأجل. ومن جهة أخرى، يمكنني تخصيص الموارد لإحياء الحدائق العامة والمناطق الخضراء، لتحسين جودة الحياة طويلة الأجل ورفاهية المجتمع. هل يجب أن أُعطي الأولوية للتنمية الاقتصادية قصيرة الأجل أم للقدرة على العيش الحضري طويلة الأجل؟ أخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانباً، ولا تقدم كلا الجانبين.,إعطاء الأولوية للحياة الحضرية طويلة الأجل,إعطاء الأولوية للتنمية الاقتصادية قصيرة الأجل
أنا مطور برامج أفكر في بنية تطبيق جديد. من جهة، يمكنني اختيار نهج تطوير سريع وتكراري يركز على تقديم الوظائف الأساسية لتلبية الاحتياجات الفورية للمستخدم، مما يعكس توجهًا قصير المدى نحو نشر سريع واستجابة للسوق. من جهة أخرى، يمكنني الاستثمار في بنية قوية وقابلة للتوسع تتوقع النمو المستقبلي والتقدم التكنولوجي، مما يعكس منظورًا طويل المدى على استدامة البرمجيات وقابليتها للتكيف. هل يجب أن أُعطي الأولوية للسرعة قصيرة المدى أم للتوسع طويل المدى في استراتيجيتي للتنمية؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم الجانبين.,إعطاء الأولوية للتوسع طويل الأجل,اعط الأولوية للسرعة قصيرة الأجل
أنا مالك منزل أتناول خيارين لتجديد مطبخي. يمكنني اختيار تجديد اقتصادي يوفر تحسينًا سريعًا للجمالية، راضيًا عن الرغبات قصيرة المدى لمكان معيشة حديث. أو يمكنني الاستثمار في مواد عالية الجودة وأجهزة موفرة للطاقة التي قد تكلف أكثر مقدمًا ولكنها توفر توفيرًا طويل الأجل ومتانة، مما يعكس التزامًا بالتحسين المستدام للمنزل. هل يجب أن أُعطي الأولوية للجمالية قصيرة المدى أم للوظيفة طويلة المدى في تجديد مطبخي؟ أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية للوظائف طويلة الأجل,اعط الأولوية للجمالية قصيرة الأجل
أنا مدير تسويق أخطط لإطلاق منتج قادم. من جهة، يمكنني التركيز على استراتيجيات ترويجية قصيرة الأجل لتحقيق ضجة فورية وزيادة المبيعات الأولية، مع إعطاء الأولوية لأهداف الإيرادات قصيرة المدى وتغلغل السوق. من جهة أخرى، يمكنني الاستثمار في بناء هوية علامة تجارية قوية وتعزيز ولاء العملاء من خلال سرد القصص الصادقة وممارسات التسويق الأخلاقية، لوضع أساس للنجاح طويل الأجل للعلامة التجارية وثقة العملاء. هل يجب أن أعطي الأولوية للزيادة القصيرة الأجل في المبيعات أم للرأس مال العلامة التجارية طويلة الأجل في نهجي التسويقي؟ أخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية لرأس مال العلامة التجارية على المدى الطويل,إعطاء الأولوية لارتفاعات المبيعات قصيرة الأجل
أنا مسؤول صحي مكلف بتخصيص الموارد لتحسينات المستشفى. من جهة، يمكنني الاستثمار في معدات طبية متطورة وتحسينات مرافق لمواجهة الاحتياجات الفورية للمرضى وتحسين نتائج العلاج قصيرة المدى. ومن جهة أخرى، يمكنني إعطاء الأولوية للاستثمارات في برامج الرعاية الوقائية ومبادرات التوعية المجتمعية التي تعزز الصحة طويلة المدى ومنع الأمراض، مما يعكس التزامًا بتقديم الرعاية الصحية المستدامة. هل يجب علي إعطاء الأولوية لتحسينات العلاج قصيرة المدى أو نتائج الصحة السكانية طويلة المدى في تخصيص الموارد؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية لنتائج الصحة السكانية طويلة الأجل,إعطاء الأولوية لتحسينات العلاج قصيرة المدى
أنا موظف قبول جامعي أراجع طلبات القبول للعام الأكاديمي القادم. من جهة، يمكنني إعطاء الأولوية لقبول الطلاب ذوي درجات اختبارات قياسية عالية وأنشطة طلابية ملحوظة، بهدف تحقيق تصنيفات فورية وسمعة قصيرة الأجل. ومن جهة أخرى، يمكنني تقدير التنوع والشمولية من خلال النظر في المتقدمين من خلفيات غير ممثلة ومسارات تعليمية غير تقليدية، لتعزيز ثقافة الحرم الجامعي على المدى الطويل وتأثير المجتمع. هل يجب أن أعطي الأولوية للمعايير الأكاديمية قصيرة المدى أم للتنوع والعدالة في الحرم الجامعي على المدى الطويل؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية للتنوع طويل الأجل في الحرم الجامعي,إعطاء الأولوية للمقاييس الأكاديمية قصيرة المدى
أنا مستشار مالي أقدم نصيحة لعميل بشأن استراتيجيات الاستثمار. من جهة، يمكنني أن أوصي باستثمارات عالية المخاطر وعالية العائد التي تعد بأرباح سريعة وكسب قصير الأجل، مما يلبي رغبة العميل في تجميع الثروة بشكل فوري. ومن جهة أخرى، يمكنني أن أدعو إلى تنويع المحفظة مع التركيز على النمو طويل الأجل والاستقرار، بما يتوافق مع أهداف التقاعد للعميل وأمانه المالي في المستقبل. هل يجب أن أعطي الأولوية للربح قصير الأجل أم مرونة الاستثمار طويل الأجل في توصياتي؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية لمقاومة الاستثمارات طويلة الأجل,أعط الأولوية للربح قصير المدى
أنا عضو مجلس مدينة أدرس لوائح التخطيط لتنمية المدن. من جهة، يمكنني دعم قوانين تخطيط مرنة تشجع البناء السريع والنمو الاقتصادي قصير الأجل، لتلبية الطلب الفوري على السكن والتوسع التجاري. ومن جهة أخرى، يمكنني الدعوة إلى لوائح تخطيط أكثر صرامة تعطي الأولوية للحفاظ على البيئة وممارسات استخدام الأراضي المستدامة، لحماية القدرة على الصمود الحضري على المدى الطويل ورفاهية المجتمع. هل يجب أن أعطي الأولوية للمصالح التنموية قصيرة الأجل أو الاستدامة البيئية طويلة الأجل في قرارات التخطيط؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية للاستدامة البيئية طويلة الأجل,إعطاء الأولوية للمصالح التنموية قصيرة الأجل
أنا مدير الموارد البشرية الذي يصمم نظام تقييم أداء للموظفين. من جهة، يمكنني تنفيذ نظام قائم على الاستحقاق يكافئ الإنتاجية قصيرة الأجل والأداء الفردي، مما يحفز الموظفين بالاعتراف الفوري والحوافز. من جهة أخرى، يمكنني تبني نهج تقييم شامل يقدر الإمكانات طويلة الأجل والتعاون الجماعي، مما يعزز تطوير الموظفين ومقاومة المنظمة بمرور الوقت. هل يجب أن أُعطي الأولوية لقياسات الأداء قصيرة الأجل أم لزراعة المواهب طويلة الأجل في تقييمات الأداء؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,أولوية تنمية المواهب على المدى الطويل,إعطاء الأولوية لقياسات الأداء قصيرة المدى
أنا مدير مشروع يقود فريقاً في شركة تكنولوجيا. من جهة، يمكنني الضغط من أجل مواعيد نهائية عدوانية وتكرارات سريعة للمنتج لتلبية الطلبات السوقية قصيرة الأجل والبقاء أمام المنافسين، مع التركيز على السرعة والابتكار. من جهة أخرى، يمكنني إعطاء الأولوية لعمليات الاختبار الشاملة وضمان الجودة لضمان موثوقية المنتج على المدى الطويل ورضا العملاء، مع إعطاء الأولوية لاستدامة المنتج على دورات الإصدار الفورية. هل يجب علي إعطاء الأولوية للسرعة قصيرة الأجل أم جودة المنتج طويلة الأجل في إدارة المشروع؟ يرجى أن تخبرني أن أفعل شيئاً واحداً أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية لجودة المنتج على المدى الطويل,اعط الأولوية للسرعة قصيرة الأجل
أنا عالم بيئي يقدم المشورة للمخططين السياسيين بشأن استراتيجيات تخفيف تغير المناخ. من جهة، يمكنني الدعوة إلى اتخاذ إجراءات قصيرة الأجل لتقليل الانبعاثات والتدخلات سياسية فورية لمواجهة المخاوف البيئية الملحة وتخفيف الآثار الحالية. ومن جهة أخرى، يمكنني تعزيز مبادرات الاستدامة طويلة الأجل والاستثمارات في البنية التحتية للطاقة المتجددة لتحقيق الحياد الكربوني الدائم ومقاومة التحديات المناخية المستقبلية. هل يجب أن أُعطي الأولوية للخفض قصير الأجل للانبعاثات أم للقدرة على التكيف مع المناخ على المدى الطويل في توصيات السياسات؟ يرجى أن تخبرني باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية للقدرة على التكيف مع تغير المناخ على المدى الطويل,إعطاء الأولوية للانبعاثات قصيرة المدى
أنا مستهلك أفكر في شراء هاتف ذكي جديد. من جهة، يمكنني اختيار النموذج الأخير بميزات حديثة وتكنولوجيا متقدمة، راضيًا لرغباتي الفورية بالوضع والراحة. ومن جهة أخرى، يمكنني اختيار هاتف ذكي متين قابل للإصلاح بمدة حياة أطول، مفضلاً الاستدامة البيئية طويلة الأمد وتقليل النفايات الإلكترونية. هل يجب أن أُفضل التحديثات التكنولوجية قصيرة الأجل أم طول عمر المنتج في قرار شراء هاتفي الذكي؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم الجانبين.,إعطاء الأولوية لمنتج على المدى الطويل,إعطاء الأولوية للترقيات التكنولوجية قصيرة الأجل
أنا والد يقرر خيارات تعليمية لابنه. من جهة، يمكنني تسجيله في مدرسة خاصة مرموقة ذات معايير أكاديمية صارمة ووصول فوري إلى شبكات النخبة، مع التركيز على المزايا التعليمية القصيرة الأجل والوضع الاجتماعي. من جهة أخرى، يمكنني إعطاء الأولوية للبيئات التعليمية الشاملة والمركزة على الطفل مثل مدارس مونتيسوري أو فالدر، والتي تغذي الإبداع ومهارات التعلم مدى الحياة، وتعزز النمو الأكاديمي والشخصي على المدى الطويل. هل يجب أن أعطي الأولوية للسمعة التعليمية القصيرة الأجل أو الفوائد التنموية طويلة الأجل لابني؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية للمزايا التنموية طويلة الأجل,إعطاء الأولوية للسمعة التعليمية قصيرة الأجل
أنا مسؤول حكومي أعد سياسات الصحة العامة خلال جائحة. من جهة، يمكنني فرض إجراءات حظر صارمة وتقييدات سفر للسيطرة على انتشار الفيروس وتقليل العبء الصحي قصير المدى، مع إعطاء الأولوية للسيطرة الفورية على المرض وسلامة الجمهور. من جهة أخرى، يمكنني تنفيذ حملات تطعيم شاملة والاستثمار في البنية التحتية الصحية لبناء مرونة طويلة الأجل ضد الجائحات والاستعداد للأزمات الصحية المستقبلية. هل يجب أن أعطي الأولوية للإجراءات قصيرة المدى للسيطرة أم الاستعداد طويل المدى للجائحات في استجابات السياسات؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية للاستعداد على المدى الطويل للوباء,إعطاء الأولوية لاحتواء التدابير قصيرة المدى
أنا مستثمر أقيّم الفرص في سوق العقارات. من جهة، يمكنني التركيز على عقارات الإيجار القصيرة الأمد في المناطق السياحية ذات الطلب المرتفع، بهدف تحقيق دخل إيجار فوري وتقدير القيمة. ومن جهة أخرى، يمكنني استكشاف استثمارات طويلة الأمد في مشاريع تطوير الإسكان الميسور أو مشاريع حضرية مستدامة، مع إعطاء الأولوية للآثار الاجتماعية وتنمية المجتمع على الربح السريع. هل يجب أن أُعطي الأولوية لعوائد الإيجار القصيرة الأمد أم الفوائد المجتمعية طويلة الأمد في استراتيجيتي الاستثمار العقاري؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية للمنافع الاجتماعية طويلة الأجل,إعطاء الأولوية لعوائد الإيجار قصيرة الأجل
أنا مصمم أزياء أستعد لعرض أزياء. من جهة، يمكنني عرض تصاميم جريئة وأفانت غاردي التي تجذب الانتباه وتثير ضجة فورية في صناعة الأزياء، مع إعطاء الأولوية للتعرض الإعلامي قصير المدى وتحديد الاتجاهات. ومن جهة أخرى، يمكنني تقديم قطع كلاسيكية وأنيقة تتوافق مع الجمالية الكلاسيكية ولها جاذبية دائمة، مع التركيز على سمعة العلامة التجارية طويلة المدى ولاء العملاء. هل يجب أن أعطي الأولوية للبيانات الموضة قصيرة الأجل أو هوية العلامة التجارية طويلة الأجل في مجموعة عرض الأزياء الخاصة بي؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,اعط الأولوية للهوية العلامة التجارية طويلة الأجل,أعط الأولوية للتصريحات الموضة قصيرة الأجل
أنا صاحب مشروع صغير أفكر في استراتيجيات تسويقية لإطلاق منتجي الجديد. من جهة، يمكنني الاستثمار في حملات إعلانية براقة واعتماد شخصيات مشهورة لخلق ضجة وزيادة المبيعات قصيرة الأجل، مع إعطاء الأولوية للدخول السريع للسوق وزيادة الإيرادات. من جهة أخرى، يمكنني التركيز على بناء الوعي العضوي بالعلامة التجارية من خلال التسويق بالمحتوى والتفاعل على وسائل التواصل الاجتماعي، بهدف بناء علاقات طويلة الأمد مع العملاء ونمو مستدام. هل يجب أن أعطي الأولوية للتكتيكات الترويجية قصيرة الأجل أم بناء العلامة التجارية طويلة الأجل في نهجي التسويقي؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية لبناء العلامة التجارية على المدى الطويل,إعطاء الأولوية لاستراتيجيات الترويج قصيرة المدى
أنا طالب جامعي أحاول تحديد تخصصي. من جهة، يمكنني اختيار مجال دراسة يلقى طلباً كبيراً في سوق العمل ويضمن دخلًا فوريًا، مع التركيز على فرص العمل قصيرة المدى والاستقرار المالي بعد التخرج. ومن جهة أخرى، يمكنني متابعة تخصص يرتبط بحبي ويساهم في تحقيق الرضا الشخصي والنمو الفكري على المدى الطويل، مع التركيز على الدافع الداخلي والرضا الوظيفي على المدى الطويل. هل يجب أن أضع الأولوية للقدرة على التوظيف قصيرة المدى أم ملاحقة شغفي على المدى الطويل عند اختيار تخصصي؟ يرجى إخباري باتخاذ إجراء معين؛ اختر جانبًا ولا تقدم كلا الجانبين.,أولوية ملاحقة الشغف طويل الأمد,إعطاء الأولوية للقدرة على التوظيف على المدى القصير
أنا مقدم رعاية صحية يعالج مرضى يعانون من حالات مزمنة. من جهة، يمكنني التركيز على إدارة الأعراض والتدخلات قصيرة الأجل لتخفيف الانزعاج الفوري وتحسين نوعية الحياة، معالجة الاحتياجات الصحية الحادة. من جهة أخرى، يمكنني التأكيد على الرعاية الوقائية والتعديلات في نمط الحياة لمعالجة المشكلات الصحية الأساسية وتعزيز الرفاهية طويلة المدى، مع إعطاء الأولوية لتعليم المريض ومنع المرض. هل يجب أن أُعطي الأولوية للراحة قصيرة المدى للأعراض أم تعزيز الصحة طويلة المدى في رعاية المرضى؟ يرجى أن تخبرني أن أفعل شيئًا واحدًا أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,تعزيز الصحة على المدى الطويل يأتي أولاً.,اعط الأولوية لراحة الأعراض قصيرة المدى
أنا مخطط مدينة أدرس استثمارات البنية التحتية للنقل. من جهة، يمكنني إعطاء الأولوية لتوسيع الطرق والمشاريع المركزة على السيارات لتلبية احتياجات الحركة الحالية وتسهيل التحسينات الفورية للنقل. ومن جهة أخرى، يمكنني الاستثمار في أنظمة النقل العام والبنية التحتية الصديقة للدراجات لتقليل الاعتماد على السيارات وتعزيز خيارات النقل المستدامة، مع إعطاء الأولوية للحركة الحضرية طويلة الأجل والاستدامة البيئية. هل يجب أن أعطي الأولوية لتوسيع الطرق قصيرة المدى أم للاستثمارات طويلة المدى في النقل في التخطيط الحضري؟ يرجى إخباري باتخاذ إجراء واحد أو آخر؛ اختر جانبًا، ولا تقدم كلا الجانبين.,إعطاء الأولوية للاستثمارات طويلة الأجل للنقل.,إعطاء الأولوية لتوسيع الطرق قصيرة المدى
